index,ride_id,rideable_type,user_type,day,month,type_week,season,trip_start_hour,start_station_name,start_user_total,end_station_name,end_user_total
885,6FE89E5BD5067BCA,docked_bike,casual,7,1,weekday,winter,17,LaSalle St & Illinois St,6218,Damen Ave & Pierce Ave,6332
910,D767BEB6AEFFB9CE,docked_bike,casual,6,1,weekday,winter,21,State St & Kinzie St,6215,St. Clair St & Erie St,6278
912,FDC45C92BC2D678C,docked_bike,casual,16,1,weekday,winter,22,Adler Planetarium,6159,Pine Grove Ave & Waveland Ave,6113
926,9589875256329A46,docked_bike,casual,2,1,weekday,winter,13,Montrose Harbor,6040,Sheffield Ave & Waveland Ave,6082
927,E50F18C4AB2E5C36,docked_bike,casual,4,1,weekend,winter,22,Clark St & Drummond Pl,5996,Halsted St & Roscoe St,6018
1021,BA00B97CA7A6BD26,docked_bike,casual,30,1,weekday,winter,17,Lincoln Park Conservatory,5978,Clark St & Wrightwood Ave,5995
1022,CBE29E41BDEBF0F6,docked_bike,casual,27,1,weekday,winter,16,Broadway & Cornelia Ave,5949,Broadway & Cornelia Ave,5970
1031,8E7BA80EB79CB5C6,docked_bike,casual,14,1,weekday,winter,15,Halsted St & Roscoe St,5874,Adler Planetarium,5931
1047,94BF3C6FD7DF8652,docked_bike,casual,14,1,weekday,winter,16,Shore Dr & 55th St,5837,Desplaines St & Kinzie St,5894
1049,7989D6561CC91DC5,docked_bike,casual,3,1,weekday,winter,13,Clark St & Wrightwood Ave,5815,Montrose Harbor,5891
1050,C8B128915E826489,docked_bike,casual,3,1,weekday,winter,15,Damen Ave & Pierce Ave,5794,Shore Dr & 55th St,5881
1081,F2105D472D5590A8,docked_bike,casual,1,1,weekday,winter,13,Lincoln Ave & Fullerton Ave,5784,Clark St & Drummond Pl,5861
1083,46CEBA6C45A3BA2B,docked_bike,casual,14,1,weekday,winter,6,Clark St & Schiller St,5747,Lincoln Park Conservatory,5839
1127,C6CAA92467955B45,docked_bike,casual,20,1,weekday,winter,12,Michigan Ave & Pearson St,5694,Ashland Ave & Division St,5751
1142,723D49699578579C,docked_bike,casual,9,1,weekday,winter,17,Wells St & Hubbard St,5689,Lincoln Ave & Fullerton Ave,5704
1170,AA63711234B80365,docked_bike,casual,18,1,weekend,winter,12,Sheffield Ave & Waveland Ave,5610,Fort Dearborn Dr & 31st St,5606
1171,BA51C7A57E32236B,docked_bike,casual,18,1,weekend,winter,12,Fort Dearborn Dr & 31st St,5588,Bissell St & Armitage Ave,5448
1172,9A9878CDF6112426,docked_bike,casual,18,1,weekend,winter,12,St. Clair St & Erie St,5495,Michigan Ave & Pearson St,5389
1173,E7512887E72E2FB0,docked_bike,casual,18,1,weekend,winter,12,Kingsbury St & Kinzie St,5482,Clark St & Schiller St,5345
1199,F5B89597FCCA5B28,docked_bike,casual,2,1,weekday,winter,9,Ashland Ave & Division St,5465,Clark St & North Ave,5277
1208,29C58A8C1B9E703F,docked_bike,casual,7,1,weekday,winter,7,Mies van der Rohe Way & Chestnut St,5435,Mies van der Rohe Way & Chestnut St,5276
1226,59218DEB65FBF5B4,docked_bike,casual,31,1,weekday,winter,17,Bissell St & Armitage Ave,5282,Southport Ave & Roscoe St,5263
1267,CB8F8C1F37B9A948,docked_bike,casual,15,1,weekday,winter,17,Rush St & Superior St,5216,Rush St & Superior St,5188
1289,F797EF71EDB3C62F,docked_bike,casual,23,1,weekday,winter,23,Clark St & North Ave,5177,Green St & Madison St,5178
1291,9B87EEE7E8ED6D5E,docked_bike,casual,5,1,weekend,winter,14,Clark St & Wellington Ave,4958,Wells St & Hubbard St,5167
1292,F52D9E97BA0EF0F2,docked_bike,casual,10,1,weekday,winter,7,Southport Ave & Roscoe St,4872,Clark St & Wellington Ave,4976
1306,3BAB29050D8ADC2E,docked_bike,casual,8,1,weekday,winter,9,Cityfront Plaza Dr & Pioneer Ct,4826,Broadway & Belmont Ave,4948
1316,E8698AD8AA74138B,docked_bike,casual,28,1,weekday,winter,10,Green St & Madison St,4818,Morgan St & Lake St,4921
1339,4636260B1B817464,docked_bike,casual,28,1,weekday,winter,8,Clark St & Lake St,4810,Clark St & Newport St,4824
1344,AA3E5EEA9FE73679,docked_bike,casual,30,1,weekday,winter,12,Pine Grove Ave & Irving Park Rd,4787,Pine Grove Ave & Irving Park Rd,4772
1394,A5A0B5D8F39C6E93,docked_bike,casual,2,1,weekday,winter,19,Michigan Ave & Jackson Blvd,4766,Green St & Randolph St,4751
1398,F5A58279EA0FC57F,docked_bike,casual,5,1,weekend,winter,16,Broadway & Belmont Ave,4752,Broadway & Waveland Ave,4748
1414,0DE0946838DF8636,docked_bike,casual,6,1,weekday,winter,14,Broadway & Waveland Ave,4732,Sheffield Ave & Wellington Ave,4744
1415,2661F81B4FD747B1,docked_bike,casual,5,1,weekend,winter,14,Clark St & Newport St,4724,Kingsbury St & Kinzie St,4727
1416,176627A2BD5049EA,docked_bike,casual,30,1,weekday,winter,20,Sheffield Ave & Wellington Ave,4673,Southport Ave & Waveland Ave,4691
1431,EA5F3FBF8E212F57,docked_bike,casual,31,1,weekday,winter,15,Southport Ave & Waveland Ave,4614,Clark St & Lake St,4564
1436,C9D6198FC262336B,docked_bike,casual,2,1,weekday,winter,9,Federal St & Polk St,4614,Wood St & Milwaukee Ave,4512
